KLM Operator,M originally inserted before this operator,M deleted? (Rule #),Time,Comment
"one of (possibly) K,P,H,W,R ",yes or no,"no, or one of 1-5","time for this action (incl. M, if present) ",your explanation of why a rule applies or not (not required - only if you are in doubt) 
K,yes,no,25,
P,yes,no,19.6,
H,no,no,3.2,
W,yes,no,3.432,
,,Overall Time:,51.232,
,,,,
Anthony Hoang given apk,,,,
HPK^6HPK^15HPKHPK(0.66*W)HPK(0.66*W)HPK(0.5^100)HPK,,,,
HMPK^6HMPK*15HMPKHMPKM(0.66*W)HMPKM(0.66*W)HMP(K*0.5*100)HMP(K*0.5*100)HMPK,,,,
